Time,CO2,PIR,Occupancy
2/19/2022 2:30,5,0,0
2/19/2022 11:20,113,0,0
2/20/2022 3:50,97,0,0
2/20/2022 4:50,72,0,0
2/20/2022 5:10,92,0,0
2/20/2022 6:20,71,0,0
2/20/2022 16:30,201,0,0
2/20/2022 17:00,193,0,0
2/20/2022 17:40,148,0,0
2/21/2022 5:40,97,0,0
2/21/2022 6:10,93,0,0
2/21/2022 6:20,103,0,0
2/22/2022 4:00,180,0,0
2/22/2022 5:40,135,0,0
2/23/2022 3:10,159,0,0
2/23/2022 4:40,101,0,0
2/23/2022 6:10,115,0,0
2/24/2022 5:00,167,0,0
2/24/2022 6:00,154,0,0
2/24/2022 10:50,55,0,0
2/24/2022 12:00,30,0,0
2/25/2022 5:00,124,0,0
2/25/2022 6:10,109,0,0
2/27/2022 4:10,507,0,0
2/27/2022 6:30,517,0,0
2/27/2022 7:10,507,0,0
3/2/2022 2:00,699,0,0
3/2/2022 4:40,864,0,0
3/2/2022 5:20,821,0,0
3/2/2022 6:30,827,0,0
3/3/2022 2:30,787,0,0
3/3/2022 4:20,653,0,0
3/3/2022 5:20,639,0,0
3/3/2022 6:00,626,0,0
3/3/2022 13:00,753,0,0
3/3/2022 13:50,683,0,0
3/4/2022 5:10,632,0,0
3/4/2022 7:00,622,0,0
3/4/2022 8:21,621,0,0
3/5/2022 8:10,796,0,0
3/5/2022 12:10,1002,0,0
3/5/2022 12:30,939,0,0
3/5/2022 13:20,824,0,0
3/5/2022 13:50,772,0,0
3/5/2022 14:10,767,0,0
3/7/2022 1:10,949,0,0
3/7/2022 3:40,1135,0,0
3/7/2022 5:30,1123,0,0
3/7/2022 6:10,1117,0,0
3/7/2022 6:40,1084,0,0
3/7/2022 7:00,1098,0,0
3/7/2022 10:00,521,0,0
3/7/2022 11:10,381,0,0
3/7/2022 12:20,399,0,0
3/7/2022 13:10,462,0,0
3/8/2022 7:00,389,0,0
3/8/2022 10:10,525,0,0
3/8/2022 11:10,461,0,0
3/10/2022 2:00,481,0,0
3/10/2022 3:50,431,0,0
3/10/2022 5:30,413,0,0
3/10/2022 7:10,447,0,0
3/10/2022 11:40,396,0,0
3/10/2022 13:50,408,0,0
3/11/2022 4:40,526,0,0
3/11/2022 6:10,497,0,0
3/11/2022 7:10,484,0,0
3/15/2022 5:10,562,0,0
3/16/2022 2:50,567,0,0
3/16/2022 5:30,538,0,0
3/16/2022 7:10,539,0,0
3/16/2022 7:50,533,0,0
3/16/2022 8:10,550,0,0
3/20/2022 4:30,478,0,0
3/30/2022 5:45,399,0,0
3/31/2022 9:40,417,0,0
